season,round,race_name,track_name,projection_variant,lineup_rank,driver_slot,scenario_name,scenario_role,lineup_archetype,scenario_type,scenario_probability,driver_id,driver_name,dk_id,salary,dk_projection,dk_mean_projection,dk_score_p75,dk_score_p90,dk_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,mean_projected_laps_led,mean_projected_fastest_laps,projected_laps_led,projected_fastest_laps,prob_lead_25_plus,prob_lead_50_plus,prob_lead_75_plus,prob_lead_100_plus,prob_lead_150_plus,prob_lead_200_plus,dominator_role,construction_role,lineup_role,punt_role,portfolio_source
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,2,primary_christopher_bell,Primary dominator C,short_balanced_depth,primary_control,0.09763587045504236,bubba_wallace,Bubba Wallace,43607001,7900,46.378622107771804,49.28884459620284,46.378622107771804,46.577787586283655,5.870711659211621,26,14,22.930376447806804,5.680556631669216,13.484635530747433,4.46102938907766,0,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,3,primary_christopher_bell,Primary dominator C,short_balanced_depth,primary_control,0.09763587045504236,chase_briscoe,Chase Briscoe,43606996,8900,67.34039215124555,71.63626317855348,67.34039215124555,67.4359702037876,7.566336196769163,30,8,27.749532006439495,14.886400393208021,16.318629836163772,11.690521538232463,0.08,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,4,primary_christopher_bell,Primary dominator C,short_balanced_depth,primary_control,0.09763587045504236,christopher_bell,Christopher Bell,43606991,10200,155.77703125,86.62128257462635,72.871004745097,73.66688934920947,15.272257965686274,3,2,70.26117214478192,57.9021989742908,226.6875,124.67812500000002,1,0.09763587045504236,0.09763587045504236,0.09763587045504236,0.09763587045504236,0.09763587045504236,Primary dominator C,Dominator candidate,Dominator,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,5,primary_christopher_bell,Primary dominator C,short_balanced_depth,primary_control,0.09763587045504236,riley_herbst,Riley Herbst,43607015,5800,29.190072098138724,29.612740778631913,29.161080549075557,29.190072098138724,5.032771051403229,34,24,1.5501039411252893,2.7226995407790935,0.9115675326319793,2.1381782555127353,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Place-differential value,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,6,primary_christopher_bell,Primary dominator C,short_balanced_depth,primary_control,0.09763587045504236,william_byron,William Byron,43606992,9900,52.61935131439058,57.595636377495765,52.616818048982005,52.61935131439058,5.315085991352584,15,9,28.663768861759312,20.95487591567986,16.856263869814512,16.456189659859888,0.08,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,6,1,split_primary_pair,Split dominators,short_stars_two_values,split_control,0.44,alex_bowman,Alex Bowman,43607007,7000,29.410847563276718,30.20214490490484,29.60094723132162,29.654408791027134,4.201549651896674,25,20,1.5203245271105592,4.049030606949336,0.7866052814633164,2.6982138731353063,0,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,6,2,split_primary_pair,Split dominators,short_stars_two_values,split_control,0.44,connor_zilisch,Connor Zilisch,43607014,6000,11.985848851358607,12.52482514746488,12.114789989980123,12.157392574469995,1.9976414752264344,32,31,0.8127135988571574,2.936992772779094,0.4204923342209619,1.9571683728963816,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,6,3,split_primary_pair,Split dominators,short_stars_two_values,split_control,0.44,denny_hamlin,Denny Hamlin,43606988,11000,115.27549492416081,69.34829343781057,115.27549492416081,157.77703125,10.479590447650983,7,3,35.382000139045914,34.450652006775755,135,81.16776649813514,0.6254677738250654,0.5454677738250653,0.5454677738250653,0.5454677738250653,0.10546777382506531,0.10546777382506531,Primary dominator B,Dominator candidate,Secondary dominator,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,6,4,split_primary_pair,Split dominators,short_stars_two_values,split_control,0.44,joey_logano,Joey Logano,43606994,9500,34.48367694886424,37.06890506155511,35.107481857132356,38.4284868749274,3.6298607314593943,11,12,6.092574162607976,12.323914490895804,3.152255277445685,8.212473621117375,0.02754477472034392,0.02754477472034392,0.02754477472034392,0.02754477472034392,0.02754477472034392,0.02754477472034392,Contrarian dominator ceiling,Contrarian dominator leverage,Contrarian dominator leverage,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,6,5,split_primary_pair,Split dominators,short_stars_two_values,split_control,0.44,riley_herbst,Riley Herbst,43607015,5800,29.016968180812476,29.612740778631913,29.161080549075557,29.190072098138724,5.002925548415944,34,24,1.5501039411252893,2.7226995407790935,0.8020129420812694,1.8143665450936908,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Place-differential value,leakage_safe_historical_scenario
