projection_variant,lineup_rank,driver_slot,scenario_name,scenario_role,lineup_archetype,scenario_type,scenario_probability,driver_id,driver_name,dk_id,salary,dk_projection,dk_mean_projection,dk_score_p75,dk_score_p90,dk_value_per_1000,dk_mean_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,mean_projected_laps_led,mean_projected_fastest_laps,projected_laps_led,projected_fastest_laps,prob_lead_25_plus,prob_lead_50_plus,prob_lead_75_plus,prob_lead_100_plus,prob_lead_150_plus,prob_lead_200_plus,dominator_role,construction_role,lineup_role,punt_role
base,4,6,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,zane_smith,Zane Smith,43667080,6000,19.987943502928047,20.345764325318655,19.987943502928047,20.81704083792098,3.3313239171546742,3.3909607208864423,25,24,1.6622630696489018,2.0671079064587343,0.9676130872263855,1.6578671802698908,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,5,1,primary_ryan_blaney,Primary dominator C,conventional_primary_control,primary_control,0.0750010312079267,brad_keselowski,Brad Keselowski,43667068,7700,38.30639786150689,39.32436950096799,38.42588003837114,39.408618327990574,4.974856865130764,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.497754867117834,3.737686988283182,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,5,2,primary_ryan_blaney,Primary dominator C,conventional_primary_control,primary_control,0.0750010312079267,bubba_wallace,Bubba Wallace,43667061,9000,40.10343874968563,41.05787504001174,40.20962093138612,41.20513817997385,4.455937638853959,4.561986115556859,14,10,4.417378951034951,4.3411784494511165,2.5239914131776464,3.2720908808693827,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,5,3,primary_ryan_blaney,Primary dominator C,conventional_primary_control,primary_control,0.0750010312079267,erik_jones,Erik Jones,43667070,7300,32.18488151415463,32.680230950574796,32.24921820843062,33.118204396590826,4.40888787865132,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,1.022269185411087,2.0651427062263505,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,5,4,primary_ryan_blaney,Primary dominator C,conventional_primary_control,primary_control,0.0750010312079267,riley_herbst,Riley Herbst,43667076,6500,18.785385870765804,19.097221417263647,18.829795780986053,19.558964171687094,2.8900593647332005,2.9380340641944076,26,25,0.9130830550737624,1.931001452211572,0.521715210777703,1.4554601512697314,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,5,5,primary_ryan_blaney,Primary dominator C,conventional_primary_control,primary_control,0.0750010312079267,ryan_blaney,Ryan Blaney,43667054,10700,81.23483146067416,50.06878282258368,48.51470159980184,48.51470159980184,7.592040323427492,4.679325497437727,3,2,14.481403484184767,7.663182114527748,76.85393258426967,42.26966292134832,0.0750010312079267,0.0750010312079267,0.0750010312079267,0,0,0,Primary dominator C,Dominator candidate,Dominator,Not a punt
base,5,6,primary_ryan_blaney,Primary dominator C,conventional_primary_control,primary_control,0.0750010312079267,ty_gibbs,Ty Gibbs,43667062,8800,42.946322153576546,44.24208776060351,43.099452612932616,44.0431788072495,4.880263881088244,5.027509972795854,2,3,5.507494267921454,6.367142652495876,3.1468588940285533,4.7991276223764565,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,6,1,split_primary_pair,Split dominators,conventional_split_control,split_control,0.3486238532110092,alex_bowman,Alex Bowman,43667072,7000,26.18886651848145,26.944985899655943,26.387367487982477,27.333434117696925,3.7412666454973498,3.8492836999508495,20,19,3.1385536760318016,2.5785499569955377,1.7499566444953805,1.669727460794678,0.01405698108606338,0.01405698108606338,0.01405698108606338,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,6,2,split_primary_pair,Split dominators,conventional_split_control,split_control,0.3486238532110092,brad_keselowski,Brad Keselowski,43667068,7700,38.05434624154919,39.32436950096799,38.42588003837114,39.408618327990574,4.942122888512881,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.4373860822173694,3.2111104910996646,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,6,3,split_primary_pair,Split dominators,conventional_split_control,split_control,0.3486238532110092,denny_hamlin,Denny Hamlin,43667053,11000,73.67110504697149,56.546658848669026,73.67110504697149,83.23483146067416,6.697373186088318,5.140605349879002,1,1,17.16332377450544,16.12406201120593,48,37.04690010438108,0.4696367257561897,0.12101287254518049,0.12101287254518049,0,0,0,Primary dominator A,Dominator candidate,Dominator,Not a punt
