season,round,event_id,race_id,driver_id,model,race_name,race_date,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_finish_position,target_win,target_top3,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,points_route
2025,1,cup_2025_r01,5546,martin_truex_jr,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Martin Truex Jr.,56,tricon_garage,TRICON Garage,toyota,Toyota,41,38,0,0,15.836656693470385,25,drafting_superspeedway,0.00590635090207105,0.01190022163051743,29,31,drafting_superspeedway,1,19.95952796936035,21,drafting_superspeedway
2025,1,cup_2025_r01,5546,austin_dillon,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Dillon,3,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,41,23,0,0,15.966659151567992,26,drafting_superspeedway,0.00869613031950751,0.00596714756399597,17,36,drafting_superspeedway,14,17.233200073242188,28,drafting_superspeedway
2025,1,cup_2025_r01,5546,todd_gilliland,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Todd Gilliland,34,front_row_motorsports,Front Row Motorsports,ford,Ford,41,27,0,0,16.02272463797557,27,drafting_superspeedway,0.01820141838777395,0.04850358964301293,12,14,drafting_superspeedway,16,20.063312530517575,20,drafting_superspeedway
2025,1,cup_2025_r01,5546,carson_hocevar,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Carson Hocevar,77,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,30,0,0,16.10796553150079,28,drafting_superspeedway,0.00813521074305867,0.00930370791174799,18,33,drafting_superspeedway,7,16.012235641479492,32,drafting_superspeedway
2025,1,cup_2025_r01,5546,ty_gibbs,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ty Gibbs,54,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,16,0,0,16.45845384544403,29,drafting_superspeedway,0.01361461623550343,0.00655058211078001,13,35,drafting_superspeedway,21,19.806737899780273,22,drafting_superspeedway
2025,1,cup_2025_r01,5546,ryan_preece,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ryan Preece,60,rfk_racing,RFK Racing,ford,Ford,41,32,0,0,16.5348705405205,30,drafting_superspeedway,0.00657116549087397,0.0403943045550253,27,18,drafting_superspeedway,5,18.12801170349121,25,drafting_superspeedway
2025,1,cup_2025_r01,5546,corey_lajoie,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Corey LaJoie,01,rick_ware_racing,Rick Ware Racing,ford,Ford,41,22,0,0,16.567315946862987,31,drafting_superspeedway,0.00986540247384135,0.02218456457283547,16,26,drafting_superspeedway,15,17.890628814697266,26,drafting_superspeedway
2025,1,cup_2025_r01,5546,ty_dillon,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ty Dillon,10,kaulig_racing,Kaulig Racing,chevrolet,Chevrolet,41,14,0,0,16.643230458714143,32,drafting_superspeedway,0.00221572391772905,0.01841234918047715,38,28,drafting_superspeedway,23,8.195444107055664,40,drafting_superspeedway
2025,1,cup_2025_r01,5546,cole_custer,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Cole Custer,41,haas_factory_team,Haas Factory Team,ford,Ford,41,21,0,0,16.648259022127238,33,drafting_superspeedway,0.01271062152189259,0.03023736714580617,14,20,drafting_superspeedway,16,15.158090591430664,33,drafting_superspeedway
2025,1,cup_2025_r01,5546,cody_ware,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Cody Ware,51,rick_ware_racing,Rick Ware Racing,ford,Ford,41,25,0,0,17.041157944491562,34,drafting_superspeedway,0.0072680253501129,0.00145539248270211,23,41,drafting_superspeedway,12,14.796454429626465,34,drafting_superspeedway
