season,round,race_date,race_name,track_name,odds_as_of,sportsbook,matchup_id,projection_variant,source_url,offered_driver_id,offered_driver,opponent_driver_id,opponent,offered_odds_american,projected_finish,opponent_projected_finish,model_probability,offered_odds_decimal,quoted_implied_probability,market_no_vig_probability,model_fair_odds_decimal,model_fair_odds_american,model_edge,expected_roi,positive_ev,calibration_slope,calibration_unique_pairs,calibration_brier,calibration_accuracy,value_rank
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,gilliland_vs_blaney,chatter,https://sportsbook.draftkings.com/event/todd-gilliland-vs-ryan-blaney/34423058,ryan_blaney,Ryan Blaney,todd_gilliland,Todd Gilliland,-340,6.182654556705454,17.762229151042067,0.7785361297296212,1.2941176470588236,0.7727272727272727,0.7183098591549296,1.2844619046097339,-351.5409212252675,0.06022627057469154,0.007517344355980393,TRUE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,5
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,logano_vs_briscoe,chatter,https://sportsbook.draftkings.com/event/joey-logano-vs-chase-briscoe/34423060,joey_logano,Joey Logano,chase_briscoe,Chase Briscoe,120,10.762560710760129,9.178969950820063,0.45712426233971726,2.2,0.45454545454545453,0.4219745222929936,2.1875889826579327,118.75889826579326,0.035149740046723665,0.005673377147378034,TRUE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,6
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,blaney_vs_larson,chatter,https://sportsbook.draftkings.com/event/ryan-blaney-vs-kyle-larson/34423944,ryan_blaney,Ryan Blaney,kyle_larson,Kyle Larson,-110,6.182654556705454,7.025628810534443,0.5228637722939369,1.9090909090909092,0.5238095238095238,0.48987854251012153,1.9125440563853653,-109.5837502861015,0.03298522978381535,-0.0018055256206659376,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,7
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,briscoe_vs_elliott,chatter,https://sportsbook.draftkings.com/event/chase-briscoe-vs-chase-elliott/34423946,chase_briscoe,Chase Briscoe,chase_elliott,Chase Elliott,-120,9.178969950820063,9.915242347073061,0.5199730281449904,1.8333333333333335,0.5454545454545454,0.5101214574898786,1.923176676235518,-108.32162745681012,0.009851570655111774,-0.046716115067517605,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,8
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,briscoe_vs_elliott,chatter,https://sportsbook.draftkings.com/event/chase-briscoe-vs-chase-elliott/34423946,chase_elliott,Chase Elliott,chase_briscoe,Chase Briscoe,-110,9.915242347073061,9.178969950820063,0.48002697185500964,1.9090909090909092,0.5238095238095238,0.48987854251012153,2.0832162745681013,108.32162745681013,-0.009851570655111885,-0.08358487191316333,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,9
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,blaney_vs_larson,chatter,https://sportsbook.draftkings.com/event/ryan-blaney-vs-kyle-larson/34423944,kyle_larson,Kyle Larson,ryan_blaney,Ryan Blaney,-120,7.025628810534443,6.182654556705454,0.4771362277060631,1.8333333333333335,0.5454545454545454,0.5101214574898786,2.095837502861015,109.5837502861015,-0.03298522978381546,-0.12525024920555083,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,10
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,logano_vs_briscoe,chatter,https://sportsbook.draftkings.com/event/joey-logano-vs-chase-briscoe/34423060,chase_briscoe,Chase Briscoe,joey_logano,Joey Logano,-165,9.178969950820063,10.762560710760129,0.5428757376602827,1.606060606060606,0.6226415094339623,0.5780254777070064,1.842042166610462,-118.75889826579326,-0.035149740046723665,-0.12810866375772778,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,11
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,wallace_vs_bell,chatter,https://sportsbook.draftkings.com/event/bubba-wallace-vs-christopher-bell/34423059,christopher_bell,Christopher Bell,bubba_wallace,Bubba Wallace,-150,8.735944125641993,9.29632319197991,0.5152049337300542,1.6666666666666665,0.6000000000000001,0.5575221238938053,1.940975201382598,-106.27272626639633,-0.04231719016375113,-0.1413251104499098,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,12
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,keselowski_vs_hocevar,chatter,https://sportsbook.draftkings.com/event/brad-keselowski-vs-carson-hocevar/34423061,carson_hocevar,Carson Hocevar,brad_keselowski,Brad Keselowski,-185,9.710111616118926,11.216570420123428,0.5407969074774627,1.5405405405405406,0.6491228070175439,0.6040291767974991,1.849123000100873,-117.76856826174811,-0.06323226932003645,-0.16688043983201695,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,13
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,byron_vs_bell,chatter,https://sportsbook.draftkings.com/event/william-byron-vs-christopher-bell/34423945,william_byron,William Byron,christopher_bell,Christopher Bell,-120,11.212978512394889,8.735944125641993,0.43317141961687883,1.8333333333333335,0.5454545454545454,0.5101214574898786,2.3085548923898447,130.85548923898446,-0.07695003787299975,-0.20585239736905547,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,14
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,gilliland_vs_blaney,chatter,https://sportsbook.draftkings.com/event/todd-gilliland-vs-ryan-blaney/34423058,todd_gilliland,Todd Gilliland,ryan_blaney,Ryan Blaney,230,17.762229151042067,6.182654556705454,0.2214638702703788,3.3,0.30303030303030304,0.28169014084507044,4.515409212252676,351.5409212252676,-0.060226270574691626,-0.26916922810775,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,15
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,hamlin_vs_reddick,chatter,https://sportsbook.draftkings.com/event/denny-hamlin-vs-tyler-reddick/34423943,tyler_reddick,Tyler Reddick,denny_hamlin,Denny Hamlin,-105,10.087005252273281,3.1690232154498688,0.3205898700762264,1.9523809523809523,0.5121951219512195,0.47539370078740156,3.1192501489901434,211.92501489901434,-0.15480383071117515,-0.3740864441368913,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,16
