season,round,race_name,track_name,track_primary_family,track_cluster_id,driver_id,driver_name,owner_name,manufacturer,target_qualifying_position,predicted_qualifying_rank,predicted_position_score,training_races,target_finish_position,predicted_finish_position,predicted_finish_rank,finish_route,target_win,target_top3,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,todd_gilliland,Todd Gilliland,Front Row Motorsports,Ford,14,10,13.982219669456844,252,27,16.12165938642674,18,drafting_superspeedway,0,0,0.01761834605495801,0.04562465208647463,20,23,drafting_superspeedway,16,19.804804281265337,18,21,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ty_dillon,Ty Dillon,Kaulig Racing,Chevrolet,7,38,28.626775090807477,252,14,18.42879352642604,29,drafting_superspeedway,0,0,0.011900275801061,0.01446700906606059,25,38,drafting_superspeedway,23,10.574144463430926,37,15,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ty_gibbs,Ty Gibbs,Joe Gibbs Racing,Toyota,23,13,15.52328558725278,252,16,17.116933865178623,23,drafting_superspeedway,0,0,0.01433277627189245,0.05007303545176349,23,19,drafting_superspeedway,21,19.95848945006432,17,16,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,tyler_reddick,Tyler Reddick,23XI Racing,Toyota,11,9,13.951493854965722,252,2,14.85830843447444,13,drafting_superspeedway,0,1,0.04615844118664915,0.14846011994240904,5,6,drafting_superspeedway,38,23.473824911177967,12,5,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,william_byron,William Byron,Hendrick Motorsports,Chevrolet,5,2,11.18365032414486,252,1,9.775095366640882,1,drafting_superspeedway,1,1,0.0666164188809284,0.23669458454081188,4,1,drafting_superspeedway,41,29.755586017349803,1,3,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,zane_smith,Zane Smith,Front Row Motorsports,Ford,37,28,22.466741860539244,252,36,20.357552530921467,40,drafting_superspeedway,0,0,0.0027179486442242,0.01065509287566308,41,39,drafting_superspeedway,1,16.560157783436615,30,37,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,aj_allmendinger,A.J. Allmendinger,Kaulig Racing,Chevrolet,12,23,21.476838407966017,253,14,17.178398753259856,21,drafting_superspeedway,0,0,0.0095630682672276,0.06080342022929969,25,16,drafting_superspeedway,24,9.33615932675853,37,17,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,alex_bowman,Alex Bowman,Hendrick Motorsports,Chevrolet,13,19,17.321696847374852,253,26,13.896983540024255,10,drafting_superspeedway,0,0,0.03827081297711662,0.0936363050511557,7,10,drafting_superspeedway,17,25.27211568488972,7,24,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,austin_cindric,Austin Cindric,Team Penske,Ford,2,1,10.56861741839874,253,28,13.873185640789394,9,drafting_superspeedway,0,0,0.04618838432691512,0.1456446792753701,6,7,drafting_superspeedway,20,27.855460280416313,3,21,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,austin_dillon,Austin Dillon,Richard Childress Racing,Chevrolet,15,13,15.436166889295516,253,16,17.457831203097104,23,drafting_superspeedway,0,0,0.01192129461592061,0.0238899821197218,22,29,drafting_superspeedway,21,18.927457454531496,23,20,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,bj_mcleod,B.J. McLeod,Live Fast Motorsports,Chevrolet,38,38,34.576714973811875,253,22,23.73512529642113,38,drafting_superspeedway,0,0,0.00364047086786048,0.00640123914737841,36,37,drafting_superspeedway,0,2.864435076848034,38,39,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,brad_keselowski,Brad Keselowski,RFK Racing,Ford,9,20,20.33132324751647,253,39,14.938186445519287,14,drafting_superspeedway,0,0,0.02899660418647795,0.12434921421523232,10,9,drafting_superspeedway,1,22.890113565847045,12,35,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,bubba_wallace,Bubba Wallace,23XI Racing,Toyota,14,14,16.083975271269768,253,9,14.227825388430068,12,drafting_superspeedway,0,0,0.01135771573875335,0.06108753159360696,23,15,drafting_superspeedway,44,22.53417630609821,14,2,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,carson_hocevar,Carson Hocevar,Spire Motorsports,Chevrolet,26,29,24.758337036337736,253,2,19.249135364475706,31,drafting_superspeedway,0,1,0.00391441125681048,0.02190984358947982,35,30,drafting_superspeedway,41,16.403919047754464,29,3,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,chase_briscoe,Chase Briscoe,Joe Gibbs Racing,Toyota,25,5,14.106953556816634,253,21,15.029319245940773,15,drafting_superspeedway,0,0,0.01300377819251146,0.04443870501530365,20,24,drafting_superspeedway,16,20.7994287417081,16,25,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,chase_elliott,Chase Elliott,Hendrick Motorsports,Chevrolet,19,6,14.34184207989604,253,20,11.698581355591992,3,drafting_superspeedway,0,0,0.05115499813669873,0.16195498049007953,5,6,drafting_superspeedway,23,26.69725660264335,5,18,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,chris_buescher,Chris Buescher,RFK Racing,Ford,8,18,17.22432207157668,253,30,13.537584570907237,7,drafting_superspeedway,0,0,0.02198758267552721,0.08345298770645737,12,12,drafting_superspeedway,7,25.1099752470012,8,29,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,christopher_bell,Christopher Bell,Joe Gibbs Racing,Toyota,32,11,15.18986676596495,253,1,14.264149010290536,13,drafting_superspeedway,1,1,0.02476000846755384,0.13550356040553138,11,8,drafting_superspeedway,40,24.7652836536869,9,4,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,cody_ware,Cody Ware,Rick Ware Racing,Ford,31,37,31.369996788195184,253,35,19.896061779148663,37,drafting_superspeedway,0,0,0.00426873653517235,0.0062251152830813,33,38,drafting_superspeedway,2,14.735185128903568,34,34,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,cole_custer,Cole Custer,Haas Factory Team,Ford,23,36,28.17258259465713,253,36,18.84969155058479,30,drafting_superspeedway,0,0,0.00545357036464726,0.01621735196187605,31,34,drafting_superspeedway,1,15.011256625710375,32,37,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,corey_lajoie,Corey LaJoie,Rick Ware Racing,Ford,35,34,27.95534539409969,253,38,19.79346867390784,36,drafting_superspeedway,0,0,0.00455446359417789,0.03272466755075418,32,28,drafting_superspeedway,1,16.154502515850897,31,36,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,daniel_suarez,Daniel Suarez,Trackhouse Racing,Chevrolet,29,25,22.334733344868596,253,33,15.924581261810063,19,drafting_superspeedway,0,0,0.01783141726722265,0.0692502563334429,13,14,drafting_superspeedway,4,19.973022442362257,18,32,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,denny_hamlin,Denny Hamlin,Joe Gibbs Racing,Toyota,37,7,14.384550602801324,253,6,14.056466715706572,11,drafting_superspeedway,0,0,0.0141054073714454,0.07462344038265407,18,13,drafting_superspeedway,31,24.144610313428817,11,8,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,erik_jones,Erik Jones,Legacy Motor Club,Toyota,28,31,25.397636503248805,253,31,18.031693164914454,26,drafting_superspeedway,0,0,0.00931762996926871,0.01906377741768012,26,33,drafting_superspeedway,6,17.8112123461977,25,30,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,jj_yeley,J.J. Yeley,NY Racing Team,Chevrolet,39,39,35.335210584308754,253,37,26.107954984755633,39,drafting_superspeedway,0,0,0.00223956585722321,0.00273301210025712,39,39,drafting_superspeedway,1,0.7118349641561508,39,38,drafting_superspeedway
