season,round,event_id,race_id,driver_id,race_name,race_date,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,predicted_qualifying_position,predicted_qualifying_rank,predicted_qualifying_speed_deficit_pct,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,points_route,actual_winner_odds_american,actual_winner_odds_decimal,actual_winner_market_probability,actual_winner_sportsbook,actual_winner_odds_as_of,actual_winner_odds_source,actual_winner_odds_quality,chatter_proxy_composite,chatter_proxy_points_nudge,chatter_proxy_finish_nudge,chatter_source_ids,chatter_coding_notes,chatter_signal_status,chatter_additive_applied,chatter_multiplicative_applied,scheduled_laps,drv_laps_led_pct_ewm_h6,drv_cluster_laps_led_pct_ewm_h6,drv_family_laps_led_pct_ewm_h6,drv_fastest_lap_pct_ewm_h6,drv_cluster_fastest_lap_pct_ewm_h6,drv_family_fastest_lap_pct_ewm_h6,actual_start_position,actual_finish_position,actual_laps_led,actual_fastest_laps,raw_laps_led_share,raw_fastest_lap_share,projected_laps_led,projected_fastest_laps,projected_finish_points,projected_place_diff_prequal,projected_place_diff_postqual,projected_dk_points_prequal,projected_dk_points_postqual,actual_dk_finish_points,actual_dk_place_diff,actual_dk_points,actual_dk_rank,projected_dk_rank_prequal,projected_dk_rank_postqual
2025,31,cup_2025_r31,5579,joey_logano,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Joey Logano,22,team_penske,Team Penske,ford,Ford,37,35,10.57838556180474,8,0.9750756177587778,conventional_speedway,21,0,0,0.35712489853791857,10.365817059788956,9,conventional_speedway,0.0106818263587886,0.08572058616073641,19,15,conventional_speedway,24,0,27.796948776484292,9,conventional_speedway,,,,,,,,0.0844,0.3375,-0.1266,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.08203848922938316,0.014118040391544474,0.08286091597992468,0.02775042273082344,0.010301134666501177,0.03561238195756649,35,21,0,1,0.06526398370755887,0.02535359052142864,17.47316045866438,8.263019524449055,35,-1,26,42.08664890066817,69.08664890066817,21,14,35.45,15,9,2
2025,31,cup_2025_r31,5579,chase_elliott,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,37,4,13.51798867380566,9,0.97910134526923,conventional_speedway,1,1,1,0.38248693678067497,9.452289357486087,7,conventional_speedway,0.03949275346109816,0.1146391786919692,8,12,conventional_speedway,55,0,31.299305538530824,7,conventional_speedway,1200,13,0.07692307692307693,DraftKings,2025-09-28,https://www.foxsports.com/stories/nascar/2025-nascar-odds-kansas-speedway-400,Race-day archived board,0.3394,1.3575,-0.5091,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.03885333528767701,0.08801843989893186,0.06800850830640752,0.02643959378990861,0.038314070354554315,0.030864745343144217,4,1,24,13,0.05843340469517336,0.03051450081937894,15.64440597067909,9.94501807687699,37,2,-3,47.38635962726442,42.38635962726442,45,3,59.85,4,7,10
2025,31,cup_2025_r31,5579,bubba_wallace,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Bubba Wallace,23,23xi_racing,23XI Racing,toyota,Toyota,37,7,13.59812747306142,10,1.005000546900776,conventional_speedway,5,0,0,0.33109272153516006,11.395378269984278,10,conventional_speedway,0.10860900668171115,0.17642989857529934,2,7,conventional_speedway,37,0,27.311558051834233,10,conventional_speedway,,,,,,,,0.1031,0.4125,-0.1547,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.06125048509745274,0.02963313289338414,0.04728954455904733,0.026567420479779877,0.020462937790194157,0.020688790152481925,7,5,13,11,0.049855911911834236,0.02357164222555896,13.347949346028368,7.682262587955778,34,0,-3,40.79400550108719,37.79400550108719,39,2,49.2,6,10,14
2025,31,cup_2025_r31,5579,alex_bowman,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Alex Bowman,48,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,37,17,13.750273861698918,11,1.0083439293785363,conventional_speedway,28,0,0,0.3169283599804775,11.997903711705778,12,conventional_speedway,0.04773871110489949,0.13062466955198856,7,10,conventional_speedway,10,0,24.886182768072334,11,conventional_speedway,,,,,,,,0.1031,0.4125,-0.1547,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.010059174963675454,0.014173892251062015,0.008360906847276159,0.021391145130205815,0.041068126241830545,0.028349132878992413,17,28,0,0,0.010663287256422271,0.028049887345308645,2.854887468763536,9.141772901829667,31,-1,5,34.82751967301424,40.82751967301424,14,-11,3,30,13,11
2025,31,cup_2025_r31,5579,chris_buescher,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Chris Buescher,17,rfk_racing,RFK Racing,ford,Ford,37,15,13.947959440223514,12,1.070420125453022,conventional_speedway,15,0,0,0.3250079892282899,11.650412607170551,11,conventional_speedway,0.02297652527378695,0.10632588038023964,12,13,conventional_speedway,25,0,23.38781769110262,15,conventional_speedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.007216992876883416,0.0067261507685026384,0.0028380002344710314,0.018339665426254488,0.01942996204779021,0.017914028621605016,15,15,0,14,0.005999534189185125,0.01850583038047605,1.6062584232462827,6.031257687970248,32,1,4,36.115630565398185,39.115630565398185,28,0,34.3,17,12,13
2025,31,cup_2025_r31,5579,ty_gibbs,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Ty Gibbs,54,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,37,8,14.179312282079296,13,0.986416825978306,conventional_speedway,25,0,0,0.3121086354525575,12.210107679859943,14,conventional_speedway,0.02536085708335864,0.15430419150308702,11,9,conventional_speedway,12,0,24.475554504722336,13,conventional_speedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.05162071985148179,0.017204563823854012,0.009489159556624376,0.03348314674445386,0.02452196776523448,0.020487885216323342,8,25,0,2,0.03248379077086049,0.027994036617616385,8.696902275966764,9.123570523236157,29,-1,-6,34.279832304447964,29.27983230444796,17,-17,0.9,33,14,15
2025,31,cup_2025_r31,5579,josh_berry,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Josh Berry,21,wood_brothers_racing,Wood Brothers Racing,ford,Ford,37,13,15.20006158213048,14,1.3645377490206034,conventional_speedway,33,0,0,0.2533301792877639,15.1208684414864,19,conventional_speedway,0.00656489125165862,0.04645754944720504,23,19,conventional_speedway,4,0,20.09564734495159,19,conventional_speedway,,,,,,,,0.0506,0.2025,-0.0759,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.00845039829402408,0.01650618867496303,0.014469749049390723,0.03004257226979254,0.02085100648517685,0.03417505763665443,13,33,1,9,0.01196918357810048,0.02877780216535409,3.2045157733014364,9.379008506194566,24,-5,-6,24.021682771112914,23.021682771112914,8,-20,-7.7,34,21,20
2025,31,cup_2025_r31,5579,austin_cindric,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Austin Cindric,2,team_penske,Team Penske,ford,Ford,37,26,15.297878655346755,15,1.048898828355816,conventional_speedway,30,0,0,0.265725638005226,14.454217733419544,16,conventional_speedway,0.0067366160956723,0.03009835423023259,22,23,conventional_speedway,7,0,21.602736855265157,16,conventional_speedway,,,,,,,,0.0506,0.2025,-0.0759,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.02492602909330396,0.024164823262713356,0.020630755361850245,0.01429986072356162,0.012090321219738551,0.013701676731540964,26,30,0,1,0.02366190920279288,0.013597929849600688,6.335015314286766,4.431717856465869,27,-1,10,29.578026863981332,40.578026863981336,12,-4,8.45,27,18,12
2025,31,cup_2025_r31,5579,ross_chastain,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Ross Chastain,1,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,37,9,15.515566136607124,16,1.062912762491253,conventional_speedway,11,0,0,0.31213826188303495,12.2087918834103,13,conventional_speedway,0.01320948184891594,0.08793255391327852,16,14,conventional_speedway,35,0,24.78048063081383,12,conventional_speedway,,,,,,,,0.1031,0.4125,-0.1547,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.008103267703304525,0.025377515293012427,0.01673465413818434,0.015480756129426983,0.016156195218298443,0.012698979082751019,9,11,0,1,0.014579676209451454,0.014954171639975858,3.9034243294837587,4.873732267965967,30,3,-4,36.169035602955624,29.169035602955624,32,-2,30.45,19,11,16
2025,31,cup_2025_r31,5579,carson_hocevar,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Carson Hocevar,77,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,37,6,15.593525787148028,17,1.1903860661669046,conventional_speedway,29,0,0,0.28171807420848544,13.637350545842295,15,conventional_speedway,0.01527010056340033,0.08404414297793586,15,16,conventional_speedway,9,0,23.525476575044543,14,conventional_speedway,,,,,,,,0.0506,0.2025,-0.0759,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.01241034698011877,0.01162045777641434,0.007761472154582624,0.023133831141236058,0.01997719597737797,0.018018812164512232,6,29,0,1,0.011050655972808627,0.02106591760609058,2.9585978976030454,6.86561882950822,28,2,-9,33.82917794767946,22.829177947679458,13,-23,-9.55,35,15,21
2025,31,cup_2025_r31,5579,michael_mcdowell,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Michael McDowell,71,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,37,21,16.285179278510043,18,1.1144767734689982,conventional_speedway,14,0,0,0.24274823554996391,15.714259330882244,20,conventional_speedway,0.0112935744743918,0.03407296005648726,18,21,conventional_speedway,23,0,19.651211217464088,21,conventional_speedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.018964871544216375,0.006888408578483742,0.007947702421966296,0.020804175191522247,0.01925743377020463,0.017605413878754694,21,14,0,0,0.013191463522220698,0.019617799508000956,3.5317574213859113,6.393660898811611,23,-2,1,24.7600867598117,27.7600867598117,29,7,36,14,20,19
2025,31,cup_2025_r31,5579,brad_keselowski,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,Brad Keselowski,6,rfk_racing,RFK Racing,ford,Ford,37,31,16.75602999785182,19,1.167333516804722,conventional_speedway,8,0,0,0.26385813062472097,14.552742671813167,17,conventional_speedway,0.02150920725126801,0.12012511323881848,13,11,conventional_speedway,29,0,21.514432594758837,17,conventional_speedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.03468335183672238,0.010532076837540929,0.011137543692059187,0.0299992091983915,0.024112852433174698,0.015484440317515497,31,8,5,0,0.02275908105076122,0.0248989277868683,6.09330066141274,8.114839839621528,26,2,14,33.17500309318287,45.17500309318287,36,23,60.25,3,16,9
2025,31,cup_2025_r31,5579,aj_allmendinger,Hollywood Casino 400,2025-09-28,kansas_speedway,Kansas Speedway,intermediate_speedway,cluster_3,A.J. Allmendinger,16,kaulig_racing,Kaulig Racing,chevrolet,Chevrolet,37,20,17.73682292554852,20,1.30451495978072,conventional_speedway,36,0,0,0.22440271104422416,16.7987077503183,23,conventional_speedway,0.00917822859862659,0.03131114799735629,20,22,conventional_speedway,1,0,17.635662195785837,23,conventional_speedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R31_HOLLYWOOD_CASINO_400_S01;2025_R31_HOLLYWOOD_CASINO_400_S04;2025_R31_HOLLYWOOD_CASINO_400_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,267,0.0063146425434661745,3.1179807546395546e-4,1.6795926465101323e-4,0.014264885805953524,0.01184982226029839,0.008276250174252129,20,36,0,1,0.0032772606067618293,0.012163961011614391,0.8774226946274644,3.9643713283393023,19,-3,-3,18.003322771409554,18.003322771409554,5,-16,-10.55,36,25,24
