season,round,race_id,race_date,race_name,track_name,driver_id,driver_id_api,driver_name,car_number_api,manufacturer_api,sponsor,owner_name_api,owner_id_api,qualifying_order_api,qualifying_position_api,qualifying_speed_api,start_position_api,finish_position_api,laps_completed_api,points_api,playoff_points_api,stage_points_api_total,stage1_position_api,stage2_position_api,stage3_position_api,stages_with_points,practice_best_speed,practice_median_speed,practice_total_laps,practice_sessions,qualifying_best_position,qualifying_best_speed,qualifying_best_lap_time,qualifying_attempts,timed_laps,fastest_lap_time,fastest_lap_speed,median_lap_speed,average_running_position,median_running_position,pit_stop_count,median_pit_stop_duration,fastest_pit_stop_duration,pit_position_differential,track_type,restrictor_plate,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,playoff_round,has_qualifying,start_to_finish_delta_api,passing_differential_api,caution_lap_rate
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,ross_chastain,4001,Ross Chastain,15,Chevrolet,VIPRacingExperience.com,Premium Motorsports,2684,0,0,0,33,29,494,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,4,4,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,alex_bowman,4045,Alex Bowman,88,Chevrolet,Llumar,Hendrick Motorsports,2273,0,0,0,19,30,494,7,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-11,-11,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,daniel_suarez,4113,Daniel Suarez,41,Ford,Haas Automation,Stewart-Haas Racing,2767,0,0,0,9,31,488,7,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-22,-22,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,garrett_smithley,4142,Garrett Smithley,52,Chevrolet,RICH MAR FLORIST.COM,Rick Ware Racing,2986,0,0,0,34,32,487,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,2,2,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,reed_sorenson,3120,Reed Sorenson,27,Chevrolet,VIPRacingExperience.com,Premium Motorsports,1775,0,0,0,31,33,452,4,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-2,-2,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,timmy_hill,3984,Timmy Hill,77,Chevrolet,Spire Motorsports,Spire Motorsports,3000,0,0,0,37,34,450,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,3,3,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,clint_bowyer,339,Clint Bowyer,14,Ford,BlueDEF,Stewart-Haas Racing,2370,0,0,0,7,35,449,9,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-28,-28,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,chase_elliott,4062,Chase Elliott,9,Chevrolet,Mountain Dew,Hendrick Motorsports,2952,0,0,0,2,36,445,4,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-34,-34,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,aric_almirola,40,Aric Almirola,10,Ford,Smithfield,Stewart-Haas Racing,2686,0,0,0,4,37,363,11,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-33,-33,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,jimmie_johnson,1717,Jimmie Johnson,48,Chevrolet,Ally,Hendrick Motorsports,1707,0,0,0,24,38,361,1,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-14,-14,0.138
