season,round,driver_id,event_id,race_id,race_name,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,target_qualifying_speed_deficit_pct,predicted_qualifying_position,predicted_qualifying_rank,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,shane_van_gisbergen,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Shane van Gisbergen,88,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,26,,21.40924136874524,24,drafting_superspeedway,33,0,0,0.21803561933140392,18.591872227575003,31,drafting_superspeedway,0.029188657423101,0.03749141061652818,11,21,drafting_superspeedway,4,0,6.265213060379028,41,34,drafting_superspeedway
2025,1,ryan_preece,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ryan Preece,60,rfk_racing,RFK Racing,ford,Ford,41,27,,21.857992187844392,28,drafting_superspeedway,32,0,0,0.2118916548119566,19.023757973959793,32,drafting_superspeedway,0.00711678828386888,0.01295490312924731,29,31,drafting_superspeedway,5,0,17.03695355155567,26,32,drafting_superspeedway
2025,1,josh_berry,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Josh Berry,21,wood_brothers_racing,Wood Brothers Racing,ford,Ford,41,29,,20.307236975311888,23,drafting_superspeedway,37,0,0,0.2116500675775264,19.040943676782145,33,drafting_superspeedway,0.01585308289430381,0.03614473555901797,17,22,drafting_superspeedway,1,0,15.58412443914282,33,38,drafting_superspeedway
2025,1,cole_custer,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Cole Custer,41,haas_factory_team,Haas Factory Team,ford,Ford,41,30,,21.59883274934564,26,drafting_superspeedway,21,0,0,0.2096590771283287,19.183168530095617,34,drafting_superspeedway,0.00528647815171853,0.0100594951004981,31,34,drafting_superspeedway,16,0,12.775172926524643,35,22,drafting_superspeedway
2025,1,john_hunter_nemechek,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,John Hunter Nemechek,42,legacy_motor_club,Legacy Motor Club,toyota,Toyota,41,18,,27.33669935381215,37,drafting_superspeedway,5,0,0,0.20873867695840545,19.249275184184427,35,drafting_superspeedway,0.0029674649760481,0.01126325626780137,37,33,drafting_superspeedway,32,0,15.676146479591685,32,9,drafting_superspeedway
2025,1,cody_ware,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Cody Ware,51,rick_ware_racing,Rick Ware Racing,ford,Ford,41,28,,32.20847878259192,41,drafting_superspeedway,25,0,0,0.20320190395954515,19.65178228003966,36,drafting_superspeedway,0.00115224582449357,6.586664687157593e-4,41,41,drafting_superspeedway,12,0,17.264132070952794,24,28,drafting_superspeedway
2025,1,jimmie_johnson,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Jimmie Johnson,84,legacy_motor_club,Legacy Motor Club,toyota,Toyota,41,40,,25.87365247338942,36,drafting_superspeedway,3,0,1,0.20292969893750892,19.67178642232149,37,drafting_superspeedway,0.0071981081723426,0.01260864398381102,28,32,drafting_superspeedway,34,0,13.746091307727456,34,6,drafting_superspeedway
2025,1,zane_smith,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Zane Smith,38,front_row_motorsports,Front Row Motorsports,ford,Ford,41,37,,22.90450192752533,29,drafting_superspeedway,36,0,0,0.19764949590918152,20.06387837047628,38,drafting_superspeedway,0.00120554152226387,0.0031981846967533,39,39,drafting_superspeedway,1,0,16.834415157246433,28,36,drafting_superspeedway
2025,1,riley_herbst,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Riley Herbst,35,23xi_racing,23XI Racing,toyota,Toyota,41,24,,25.443311534873384,34,drafting_superspeedway,17,0,0,0.197292588010082,20.090661521126385,39,drafting_superspeedway,0.00316954881951972,0.0163884367989512,36,28,drafting_superspeedway,20,0,6.918944549560546,40,18,drafting_superspeedway
2025,1,helio_castroneves,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Helio Castroneves,91,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,41,,24.012729454040525,31,drafting_superspeedway,39,0,0,0.1897677686218155,20.663738378526272,40,drafting_superspeedway,0.01694483787330585,0.01456531672191809,16,29,drafting_superspeedway,0,0,9.934450207245682,37,41,drafting_superspeedway
