season,round,race_name,track_name,track_primary_family,track_cluster_id,driver_id,driver_name,owner_name,manufacturer,target_qualifying_position,predicted_qualifying_rank,predicted_position_score,rolling_train_races,target_finish_position,predicted_finish_position,predicted_finish_rank,finish_route,target_win,target_top3,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,shane_van_gisbergen,Shane van Gisbergen,Trackhouse Racing,Chevrolet,26,26,21.02957551715222,252,33,19.42161735223409,37,drafting_superspeedway,0,0,0.01056886082705689,0.02252242420410075,23,28,drafting_superspeedway,4,5.167468857765198,41,34,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,todd_gilliland,Todd Gilliland,Front Row Motorsports,Ford,14,9,13.754107520218255,252,27,16.993919424193294,25,drafting_superspeedway,0,0,0.01427091583109854,0.02227296563092704,16,29,drafting_superspeedway,16,19.094619134933552,20,21,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ty_dillon,Ty Dillon,Kaulig Racing,Chevrolet,7,40,29.146248166674177,252,14,18.209999857859795,31,drafting_superspeedway,0,0,0.00438105780046124,0.00941460432532878,35,37,drafting_superspeedway,23,5.414358906637713,40,15,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ty_gibbs,Ty Gibbs,Joe Gibbs Racing,Toyota,23,15,15.204789932192964,252,16,16.796356876218216,24,drafting_superspeedway,0,0,0.0017391442741446,0.02649710489833495,40,24,drafting_superspeedway,21,19.891400464621206,17,16,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,tyler_reddick,Tyler Reddick,23XI Racing,Toyota,11,12,14.560966797318017,252,2,13.453799622354335,10,drafting_superspeedway,0,1,0.05033898753668463,0.12199051309556144,6,7,drafting_superspeedway,38,24.85747178083739,10,5,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,william_byron,William Byron,Hendrick Motorsports,Chevrolet,5,4,11.44898717145016,252,1,10.56175360839445,2,drafting_superspeedway,1,1,0.09954008552239212,0.3789076783958553,4,1,drafting_superspeedway,41,30.847964156845652,1,3,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,zane_smith,Zane Smith,Front Row Motorsports,Ford,37,33,24.164256108433538,252,36,20.21076232816829,39,drafting_superspeedway,0,0,0.00189160270621949,0.00505585394177671,39,38,drafting_superspeedway,1,16.06205430786594,29,37,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,aj_allmendinger,A.J. Allmendinger,Kaulig Racing,Chevrolet,12,22,20.972004995795604,253,14,16.839448687422937,22,drafting_superspeedway,0,0,0.00267715490853177,0.03527290476029413,31,23,drafting_superspeedway,24,8.533286668982651,37,17,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,alex_bowman,Alex Bowman,Hendrick Motorsports,Chevrolet,13,13,16.282891902223213,253,26,11.809204654151664,4,drafting_superspeedway,0,0,0.0146914681689995,0.09928818926313222,13,9,drafting_superspeedway,17,26.80280597343342,6,24,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,austin_cindric,Austin Cindric,Team Penske,Ford,2,2,9.824228069185285,253,28,13.239814656253884,8,drafting_superspeedway,0,0,0.02003545486202504,0.1050483421955135,10,8,drafting_superspeedway,20,28.484626883504692,3,21,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,austin_dillon,Austin Dillon,Richard Childress Racing,Chevrolet,15,10,14.741105730161603,253,16,17.356858465092024,24,drafting_superspeedway,0,0,0.00588422537376642,0.01345071938959804,23,32,drafting_superspeedway,21,17.281705835192508,26,20,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,bj_mcleod,B.J. McLeod,Live Fast Motorsports,Chevrolet,38,38,34.39053886449791,253,22,23.16353420753697,38,drafting_superspeedway,0,0,9.247561508502176e-4,8.556637153075471e-4,37,37,drafting_superspeedway,0,2.8613132954988516,38,39,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,brad_keselowski,Brad Keselowski,RFK Racing,Ford,9,20,19.829184987615093,253,39,13.140992260831784,7,drafting_superspeedway,0,0,0.02006685768478243,0.15119914867542714,9,6,drafting_superspeedway,1,25.99958431474841,7,35,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,bubba_wallace,Bubba Wallace,23XI Racing,Toyota,14,9,14.557085279509517,253,9,13.999162984708056,11,drafting_superspeedway,0,0,0.00534894478267863,0.11930350758589504,25,7,drafting_superspeedway,44,22.38851619180988,13,2,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,carson_hocevar,Carson Hocevar,Spire Motorsports,Chevrolet,26,32,25.790841499533535,253,2,18.278064166660972,28,drafting_superspeedway,0,1,0.00191728409210574,0.02315350072012752,33,26,drafting_superspeedway,41,16.20643054906672,28,3,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,chase_briscoe,Chase Briscoe,Joe Gibbs Racing,Toyota,25,12,15.619889242928084,253,21,17.13893669960262,23,drafting_superspeedway,0,0,0.00473585032125061,0.06741372978778729,26,14,drafting_superspeedway,16,19.22755517221957,20,25,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,chase_elliott,Chase Elliott,Hendrick Motorsports,Chevrolet,19,6,13.882480097550458,253,20,11.135758284224371,3,drafting_superspeedway,0,0,0.11139349492255658,0.1910534528662524,3,5,drafting_superspeedway,23,28.323759784100865,4,18,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,chris_buescher,Chris Buescher,RFK Racing,Ford,8,15,16.64991549542006,253,30,13.427070501025652,9,drafting_superspeedway,0,0,0.03799520369401826,0.09000405303027628,7,13,drafting_superspeedway,7,24.150525097465067,11,29,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,christopher_bell,Christopher Bell,Joe Gibbs Racing,Toyota,32,17,17.051221689213243,253,1,13.925180115811989,10,drafting_superspeedway,1,1,0.01966916335909177,0.09142744000539224,11,11,drafting_superspeedway,40,25.002571270416635,10,4,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,cody_ware,Cody Ware,Rick Ware Racing,Ford,31,37,30.731591751268915,253,35,19.86468586215237,37,drafting_superspeedway,0,0,0.0013559756409075,4.4009393349861463e-4,34,38,drafting_superspeedway,2,14.926352769589602,31,34,drafting_superspeedway
