projection_variant,lineup_rank,driver_slot,driver_id,driver_name,dk_id,salary,dk_projection,dk_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,projected_laps_led,projected_fastest_laps
base,12,4,ricky_stenhouse_jr,Ricky Stenhouse Jr.,43607020,5200,15.494159734206448,2.9796461027320094,30,29,0.4493620963063136,3.0707093558441545
base,12,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,12,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,13,1,aj_allmendinger,A.J. Allmendinger,43607018,5500,17.550150764033514,3.190936502551548,22,25,1.513982477531535,7.048122543668065
base,13,2,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,13,3,john_hunter_nemechek,John Hunter Nemechek,43607019,5400,16.70643216613016,3.093783734468548,27,28,4.622476880636485,5.668473213268978
base,13,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,13,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,13,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,14,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,14,2,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,14,3,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,14,4,chase_elliott,Chase Elliott,43606993,9700,57.57703829986028,5.935777144315493,8,5,26.029474758604536,20.15482135602033
base,14,5,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,14,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,15,1,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,15,2,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,15,3,ricky_stenhouse_jr,Ricky Stenhouse Jr.,43607020,5200,15.494159734206448,2.9796461027320094,30,29,0.4493620963063136,3.0707093558441545
base,15,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,15,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,15,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
base,16,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,16,2,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,16,3,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
base,16,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,16,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,16,6,tyler_reddick,Tyler Reddick,43606995,9200,49.872237920267985,5.420895426116085,9,10,20.533984978199303,26.086092612707017
base,17,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,17,2,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,17,3,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,17,4,christopher_bell,Christopher Bell,43606991,10200,62.28393860631811,6.106268490815501,7,3,19.101445192653657,27.79683846256598
base,17,5,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,17,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,18,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,18,2,chase_briscoe,Chase Briscoe,43606996,8900,49.058810272982804,5.5122258733688545,5,6,19.130063701207913,16.169542994846275
base,18,3,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,18,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,18,5,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
